,brand,model,submodel,year,location,price,gearbox,operations,body,gas,color,insidecolor
997,هایما,S7,1.8 لیتر توربو,1398,تهران ,1100.0,1,49000,یک لکه رنگ,بنزینی,مشکی,داخل مشکی
998,یوآز,پاتریوت,اتوماتیک,1401,لواسان,,1,29000,بدون رنگ,بنزینی,مشکی,داخل مشکی
999,پژو,پارس,XU7,1386,اصفهان ,255.0,0,204000,کاپوت تعویض,بنزینی,سفید,داخل نقره ای
1000,پژو,206,تیپ 2,1382,اصفهان ,214.0,0,240000,بدون رنگ,بنزینی,سفید,داخل خاکستری
1001,پژو,پارس,XU7,1387,اصفهان ,283.0,0,300000,بدون رنگ,بنزینی,سفید,داخل مشکی
1002,پژو,405,GLX بنزینی,1381,تنکابن ,,0,177000,یک لکه رنگ,بنزینی,مشکی,داخل مشکی
1003,زوتی,آریو,1.6 لیتر اتوماتیک,1397,اشنویه ,,1,85000,بدون رنگ,بنزینی,سفید,داخل مشکی
1004,پژو,405,GLX بنزینی,1389,تهران ,,0,155000,دو لکه رنگ,بنزینی,خاکستری,داخل مشکی
1005,پژو,207,MC اتوماتیک,1401,تهران ,680.0,1,16000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1006,پژو,پارس,XU7P,1401,داراب ,468.0,0,33000,بدون رنگ,بنزینی,سفید,داخل کرم
