,brand,model,submodel,year,location,price,gearbox,operations,body,gas,color,insidecolor
1665,جک,S3,اتوماتیک,1398,آستارا,780.0,1,60000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1666,پژو,207,دنده ای,1399,تهران ,500.0,0,75000,بدون رنگ,بنزینی,سفید,داخل مشکی
1667,چری,آریزو 6,اکسلنت,1399,شمیرانات,,1,2500,یک لکه رنگ,بنزینی,سفید,داخل مشکی
1668,تویوتا,C-HR هیبرید,اتوماتیک,1396,تهران ,,1,73000,یک لکه رنگ,هیبریدی,خاکستری,داخل مشکی
1669,کی ام سی,J7,اتوماتیک,1402,تهران ,1380.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1670,ام وی ام,315هاچ بک,ساده,1395,نکا,350.0,0,106000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
1671,کیا,سراتو (مونتاژ),2.0 لیتر ساده,1395,رباط کریم,1100.0,1,175000,درب تعویض,بنزینی,سفید,داخل مشکی
1672,ساینا,S,دنده ای بنزینی,1402,تهران ,357.0,0,5240,بدون رنگ,بنزینی,سفید,داخل خاکستری
1673,سمند,LX,EF7,1393,مرند ,275.0,0,120000,گلگیر تعویض,بنزینی,مشکی,داخل کرم
1674,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1395,تهران ,,1,0,بدون رنگ,بنزینی,قهوه ای,داخل مشکی
1675,رانا,پلاس پانوراما,دنده ای,1402,ری,540.0,0,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1676,پژو,207,اتوماتیک TU5,1396,تهران ,550.0,1,105000,بدون رنگ,بنزینی,خاکستری,داخل خاکستری
1677,تیبا,هاچ بک,EX,1396,کرمان,260.0,0,136000,بدون رنگ,بنزینی,سفید,داخل خاکستری
1678,تویوتا,هایلوکس دو کابین بلند,دنده ای,1393,سقز,3200.0,0,85000,بدون رنگ,بنزینی,سفید,داخل قرمز
1679,پژو,207,دنده ای,1399,تهران ,538.0,0,38000,بدون رنگ,بنزینی,سفید,داخل مشکی
1680,تیبا,هاچ بک,SX,1393,تهران ,220.0,0,150000,کاپوت رنگ,بنزینی,خاکستری,داخل مشکی
1681,هایما,S5,گیربکس CVT,1398,تهران ,,1,37000,بدون رنگ,بنزینی,سفید,داخل مشکی
1682,سمند,LX,EF7,1398,تهران ,407.0,0,64000,بدون رنگ,بنزینی,سفید,داخل خاکستری
1683,ب ام و,سری 5 سدان,528i,1394,تهران ,5750.0,1,80000,بدون رنگ,بنزینی,سفید,داخل مارون
1684,فردا,سوبا M4,اتوماتیک,1402,تهران ,2050.0,1,0,بدون رنگ,بنزینی,مشکی,داخل سفید
1685,تویوتا,پرادو دو در,4 سیلندر,1391,تهران ,,1,123000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1686,هیوندای,سانتافه,6 سیلندر,1391,بوکان,2200.0,1,132000,بدون رنگ,بنزینی,مشکی,داخل کرم
1687,کیا,سورنتو,6 سیلندر,1392,اصفهان ,2420.0,1,190000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1688,هیوندای,i20 (مونتاژ),اتوماتیک,1396,تهران ,,1,30000,بدون رنگ,بنزینی,سفید,داخل مشکی
1689,ب ام و,سری 6 کوپه,630i,1389,تهران ,,1,104000,بدون رنگ,بنزینی,مشکی,داخل مارون
1690,پژو,405,GLX بنزینی,1385,تهران ,,0,330000,کاپوت تعویض,بنزینی,بژ,داخل مشکی
1691,ام وی ام,X55 PRO,IE,1402,تهران ,1290.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1692,پژو,206,تیپ 3,1384,تهران ,220.0,0,,بدون رنگ,بنزینی,نقره ای,داخل مشکی
1693,چری,تیگو 7,IE,1399,شمیرانات,1220.0,1,60000,بدون رنگ,بنزینی,مشکی,داخل موکا
1694,سوزوکی,گراند ویتارا (مونتاژ),2.4 لیتر دنده ای,1389,کرج ,,0,370000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
1695,زامیاد,ریچ,دنده ای,1398,تهران ,,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1696,پژو,207,پانوراما دنده ای,1402,تهران ,,0,1200,بدون رنگ,بنزینی,سفید,داخل خاکستری
1697,ام وی ام,X22,دنده ای اسپرت لاکچری,1402,تهران ,740.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1698,سمند,LX,EF7,1399,تهران ,,0,2700,بدون رنگ,بنزینی,خاکستری,داخل کرم
1699,سیتروئن,C3 (مونتاژ),اتوماتیک,1397,تهران ,1600.0,1,30000,بدون رنگ,بنزینی,سفید,داخل مشکی
1700,پراید,131,SE,1393,ساری,185.0,0,170000,صافکاری بدون رنگ,دوگانه سوز,سفید,داخل خاکستری
1701,رنو,مگان (مونتاژ),2000,1391,تهران ,770.0,1,179000,بدون رنگ,بنزینی,سفید,داخل کرم
1702,هوندا,CR-V,EXL,1395,تهران ,3300.0,1,80400,بدون رنگ,بنزینی,سفید صدفی,داخل کرم
1703,پراید,151,SE,1402,بندرلنگه,275.0,0,0,بدون رنگ,بنزینی,سفید,داخل خاکستری
1704,پژو,207,پانوراما دنده ای,1400,تهران ,550.0,0,24000,کاپوت رنگ,بنزینی,سفید,داخل مشکی
1705,دنا,پلاس,اتوماتیک توربو,1401,شمیرانات,735.0,1,22000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1706,تویوتا,86 GT,اتوماتیک,1393,تهران ,1950.0,1,150000,دور رنگ,بنزینی,مشکی,داخل مشکی
1707,ب ام و,سری 3 سدان,328i,1393,تهران ,3130.0,1,120000,چند لکه رنگ,بنزینی,سفید,داخل مشکی
1708,لکسوس,NX هیبرید,300h fsport,1396,تهران ,5900.0,1,85000,بدون رنگ,هیبریدی,سفید,داخل مارون
1709,جک,S5,2.0 لیتر اتوماتیک,1398,کرج ,,1,66000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1710,رنو,کولیوس,اتوماتیک,1396,کرج ,,1,97000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1711,فونیکس,تیگو 8 پرو,پرمیوم,1401,کرج ,,1,,بدون رنگ,بنزینی,مشکی,داخل مارون
1712,دانگ فنگ,H30 کراس,اتوماتیک,1398,کرج ,,1,121000,بدون رنگ,بنزینی,سفید,داخل مشکی
1713,پژو,207,اتوماتیک TU5,1399,تهران ,655.0,1,60000,بدون رنگ,بنزینی,سفید,داخل مشکی
1714,تویوتا,لندکروز چهار در,8 سیلندر 4.7,1388,تهران ,,1,100000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1715,کیا,کارنز,اتوماتیک,1395,تهران ,1750.0,1,150000,بدون رنگ,بنزینی,سفید,داخل مشکی
1716,سمند,LX,EF7,1393,اصفهان ,290.0,0,165000,یک لکه رنگ,بنزینی,سفید,داخل مشکی
1717,پژو,207,MC اتوماتیک,1401,کرج ,585.0,1,48000,بدون رنگ,بنزینی,سفید,داخل مشکی
1718,پژو,207,دنده ای,1402,اصفهان ,598.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1719,کوییک,دنده ای R,دنده ای,1402,تهران ,350.0,0,0,بدون رنگ,بنزینی,نقره ای,داخل مشکی
1720,هیوندای,وراکروز,اتوماتیک,1390,تهران ,,1,148000,درب تعویض,بنزینی,ذغالی,داخل مشکی
1721,جک,جی 4,اتوماتیک,1402,تهران ,765.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1722,هیوندای,توسان,2.4 لیتر,1393,تهران ,1850.0,1,148000,بدون رنگ,بنزینی,سفید,داخل موکا
1723,تویوتا,لندکروز چهار در,6 سیلندر 4.0,1390,تهران ,,1,120000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1724,چری,آریزو 5T,IE,1401,تهران ,,1,,بدون رنگ,بنزینی,سفید,داخل مشکی
1725,پراید,131,SE,1394,تهران ,190.0,0,165000,یک لکه رنگ,بنزینی,سفید,داخل مشکی
1726,تویوتا,لندکروز چهار در,8 سیلندر 5.7,1399,تهران ,,1,4700,بدون رنگ,بنزینی,سفید صدفی,داخل کرم
1727,لکسوس,RX,350,1390,تهران ,,1,89000,بدون رنگ,بنزینی,سفید,داخل مشکی
1728,جک,S3,اتوماتیک,1402,تهران ,960.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1729,دنا,پلاس,اتوماتیک توربو,1402,ساوه,800.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1730,پژو,206,تیپ 2,1395,کرج ,305.0,0,230000,کاپوت تعویض,بنزینی,آبی,داخل مشکی
1731,هیوندای,آزرا (گرنجور),6 سیلندر,1387,کرج ,,1,220000,دور رنگ,بنزینی,مشکی,داخل مشکی
1732,رانا,LX,دنده ای,1395,کرج ,355.0,0,180000,بدون رنگ,بنزینی,سفید,داخل مشکی
1733,دانگ فنگ,H30 کراس,اتوماتیک,1397,تهران ,,1,7000,بدون رنگ,بنزینی,سفید,داخل خاکستری
1734,پژو,پارس,XU7P,1402,همدان,503.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1735,پژو,206,تیپ 6,1389,تهران ,,1,221000,دور رنگ,بنزینی,نوک مدادی,داخل مشکی
1736,شورولت,کاپریس,اتوماتیک,1360,تهران ,,1,180000,چند لکه رنگ,بنزینی,مشکی,داخل قرمز
1737,نیسان,ماکسیما,اتوماتیک,1388,تهران ,,1,155000,یک لکه رنگ,بنزینی,خاکستری,داخل طوسی
1738,هیوندای,i20 (مونتاژ),اتوماتیک,1397,تهران ,,1,17000,بدون رنگ,بنزینی,سفید,داخل مشکی
1739,زوتی,آریو,1.6 لیتر اتوماتیک,1397,رامسر,595.0,1,150000,بدون رنگ,بنزینی,سفید,داخل مشکی
1740,جک,جی 4,اتوماتیک,1402,نوشهر,735.0,1,4000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1741,پژو,پارس,اتوماتیک,1398,جویبار,580.0,1,60000,بدون رنگ,بنزینی,سفید,داخل مشکی
1742,زامیاد,ریچ,دنده ای,1397,تهران ,900.0,0,117000,بدون رنگ,بنزینی,سفید,داخل مشکی
1743,کیا,اپتیما,4 سیلندر ساده,1395,تهران ,,1,140000,بدون رنگ,بنزینی,سفید,داخل مشکی
1744,دنا,معمولی,دنده ای,1395,تبریز,410.0,0,168000,دو درب رنگ,بنزینی,نقره ای,داخل مشکی
1745,پورشه,پانامرا,4S,1390,اصفهان ,,1,107000,بدون رنگ,بنزینی,قهوه ای,داخل کرم
1746,لکسوس,NX هیبرید,300h,1396,اصفهان ,,1,97000,بدون رنگ,هیبریدی,تیتانیوم,داخل مشکی
1747,هیوندای,آزرا (گرنجور),6 سیلندر,1389,اصفهان ,,1,165000,بدون رنگ,بنزینی,سفید,داخل مشکی
1748,پژو,پارس,XU7,1400,کرج ,435.0,0,69000,بدون رنگ,بنزینی,سفید,داخل کرم
1749,لیفان,X60,اتوماتیک,1395,شمیرانات,650.0,1,75000,بدون رنگ,بنزینی,سفید,داخل خاکستری
1750,تویوتا,فرچونر,اتوماتیک,1387,تهران ,,1,160000,بدون رنگ,بنزینی,مشکی,داخل کرم
1751,تویوتا,لندکروز چهار در,6 سیلندر 4.0,1390,تهران ,,1,135000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
1752,ب ام و,سری 5 سدان,528i,1394,تهران ,,1,90000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1753,هیوندای,i30,اتوماتیک,1390,تهران ,,1,225000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1754,تیبا,صندوق دار,SX بنزینی,1401,تهران ,312.0,0,8000,بدون رنگ,بنزینی,سفید,داخل مشکی
1755,کی ام سی,K7,اتوماتیک,1401,تهران ,1480.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1756,فونیکس,FX,اکسلنت,1402,کرج ,1720.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1757,ام وی ام,X55 PRO,اکسلنت اسپرت,1402,کرج ,1251.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1758,فونیکس,آریزو 6 پرو,اتوماتیک,1400,کرج ,1238.0,1,0,بدون رنگ,بنزینی,سفید,داخل مارون
1759,فونیکس,آریزو 6 پرو,اتوماتیک,1402,کرج ,1238.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1760,چری,آریزو 5T,IE,1402,کرج ,527.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1761,ام وی ام,X55 PRO,اکسلنت اسپرت,1402,کرج ,732.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1762,ام وی ام,X55 PRO,اکسلنت,1402,کرج ,625.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1763,پژو,405,GLX بنزینی,1389,اسلام شهر ,195.0,0,280000,گلگیر تعویض,بنزینی,نقره ای,داخل کرم
1764,دیگنیتی,پرایم,اتوماتیک,1402,تهران ,1640.0,1,8000,بدون رنگ,بنزینی,مشکی,داخل مارون
1765,دنا,پلاس,اتوماتیک توربو,1402,تهران ,818.0,1,0,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1766,دنا,پلاس,دنده ای ساده,1402,تهران ,645.0,0,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1767,فونیکس,آریزو 6 پرو,اتوماتیک,1402,کرج ,742.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1768,ام وی ام,X55 PRO,اکسلنت,1402,کرج ,938.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1769,سوزوکی,گراند ویتارا (مونتاژ),2.0 لیتر دنده ای,1387,تهران ,,0,111000,بدون رنگ,بنزینی,نقره ای,داخل مشکی
1770,آئودی,Q5,اتوماتیک,1395,تهران ,,1,60000,بدون رنگ,بنزینی,کربن بلک,داخل مشکی
1771,لکسوس,NX هیبرید,300h fsport,1395,تهران ,,1,62000,بدون رنگ,هیبریدی,تیتانیوم,داخل مشکی
1772,ب ام و,X3,30,1387,تهران ,1270.0,1,350000,چند لکه رنگ,بنزینی,نقره ای,داخل مشکی
1773,پراید,151,SE,1401,تهران ,256.0,0,34000,بدون رنگ,بنزینی,سفید,داخل مشکی
1774,پژو,206,تیپ 3,1384,تهران ,,0,223000,چند لکه رنگ,بنزینی,نقره ای,داخل مشکی
1775,تارا,دنده ای V1,دنده ای,1402,تهران ,661.0,0,0,بدون رنگ,بنزینی,قهوه ای,داخل قهوه ای
1776,پورشه,ماکان,اتوماتیک,1396,کرج ,,1,60000,بدون رنگ,بنزینی,سفید,داخل مشکی
1777,لکسوس,NX هیبرید,300h,1396,کرج ,,1,90000,چند لکه رنگ,هیبریدی,قهوه ای,داخل مشکی
1778,فولکس,تیگوان,اتوماتیک,1397,کرج ,,1,150000,بدون رنگ,بنزینی,سفید,داخل مشکی
1779,رنو,کولیوس,اتوماتیک,1396,کرج ,,1,98000,بدون رنگ,بنزینی,سفید,داخل سفید
1780,هیوندای,سوناتا هیبرید,تیپ 2 (GLS),1396,کرج ,,1,70000,بدون رنگ,هیبریدی,سفید,داخل سرمه ای
1781,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1394,کرج ,,1,110000,بدون رنگ,بنزینی,سفید,داخل موکا
1782,مزدا,3 نیو صندوق دار,2.0 لیتر تیپ 4,1397,کرج ,,1,90000,بدون رنگ,بنزینی,سفید,داخل مشکی
1783,نیسان,جوک,پلاتینیوم,1396,کرج ,,1,80000,یک لکه رنگ,بنزینی,مشکی,داخل مشکی
1784,مزدا,3 نیو صندوق دار,2.0 لیتر تیپ 3,1390,کرج ,,1,170000,چند لکه رنگ,بنزینی,خاکستری,داخل مشکی
1785,دنا,پلاس,اتوماتیک توربو,1402,کرج ,,1,10000,بدون رنگ,بنزینی,سفید,داخل مشکی
1786,پژو,206,تیپ 5,1398,کرج ,,0,90000,بدون رنگ,بنزینی,سفید,داخل مشکی
1787,تویوتا,لندکروز چهار در,6 سیلندر 4.0,1389,تهران ,,1,70000,بدون رنگ,بنزینی,سفید,داخل موکا
1788,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1396,تهران ,3590.0,1,65000,بدون رنگ,بنزینی,سفید,داخل موکا
1789,پژو,پارس,XU7,1391,کنگاور,,0,280000,یک لکه رنگ,بنزینی,مشکی,داخل کرم
1790,لکسوس,RX,350,1389,تهران ,3450.0,1,156000,دو لکه رنگ,بنزینی,خاکستری,داخل مشکی
1791,رانا,LX,دنده ای,1397,تهران ,330.0,0,113000,کاپوت تعویض,بنزینی,نقره ای,داخل مشکی
1792,پژو,207,اتوماتیک TU5,1397,تهران ,600.0,1,40000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1793,کیا,سراتو (مونتاژ),2.0 لیتر آپشنال,1396,تهران ,1299.0,1,76000,بدون رنگ,بنزینی,سفید,داخل مشکی
1794,کیا,سراتو (مونتاژ),2.0 لیتر آپشنال,1397,تبریز ,1520.0,1,36000,بدون رنگ,بنزینی,سفید,داخل مشکی
1795,بنز,کلاس C,C200,1393,تهران ,4400.0,1,128000,بدون رنگ,بنزینی,سفید,داخل مشکی
1796,هیوندای,توسان,2.0 لیتر دو دیفرانسیل,1396,تهران ,3000.0,1,82000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1797,چری,تیگو 7,IE,1399,کاشان,,1,63300,بدون رنگ,بنزینی,سفید,داخل مشکی
1798,مینی,کوپر,5 در S,1397,تهران ,4600.0,1,33000,بدون رنگ,بنزینی,نارنجی,داخل مشکی
1799,بنز,کلاس S,S500,1389,اصفهان ,,1,117000,بدون رنگ,بنزینی,سفید,داخل کرم
1800,ب ام و,سری i,i8,1395,تهران ,,1,0,بدون رنگ,هیبریدی,آبی,داخل مشکی
1801,فونیکس,تیگو 8 پرو,پرمیوم,1401,تهران ,1930.0,1,24000,بدون رنگ,بنزینی,مشکی,داخل مارون
1802,پورشه,ماکان,اتوماتیک,1396,تهران ,,1,15000,بدون رنگ,بنزینی,سرمه ای,داخل موکا
1803,ام وی ام,X55 PRO,IE اسپرت,1402,تهران ,1260.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1804,ب ام و,سری 5 سدان,530i,1397,تهران ,,1,40000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1805,دیگنیتی,پرایم,اتوماتیک,1401,شمیرانات,,1,3000,بدون رنگ,بنزینی,سفید,داخل مارون
1806,کیا,اسپورتیج,4 سیلندر ساده,1394,تهران ,,1,29000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
1807,جک,جی 4,اتوماتیک,1402,تهران ,740.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1808,ولوو,XC90,اینسکریپشن,1396,تهران ,,1,9000,بدون رنگ,بنزینی,سفید,داخل مشکی
1809,پراید,131,SE,1394,تهران ,,0,56000,بدون رنگ,بنزینی,نوک مدادی,داخل خاکستری
1810,کیا,اسپورتیج,4 سیلندر GT لاین,1396,تهران ,3700.0,1,50000,بدون رنگ,بنزینی,سفید,داخل مشکی
1811,رنو,مگان (مونتاژ),2000,1392,شیراز ,,1,105000,بدون رنگ,بنزینی,سفید,داخل مشکی
1812,ب ام و,سری 3 سدان,328i,1394,تهران ,,1,140000,یک لکه رنگ,بنزینی,مشکی,داخل مشکی
1813,میتسوبیشی,پاجرو چهار در,6 سیلندر,1386,شیراز ,,1,85000,بدون رنگ,بنزینی,سفید,داخل کرم
1814,پاژن,وانت دو کابین,دنده ای,1389,شیراز ,,0,165000,بدون رنگ,بنزینی,قرمز,داخل مشکی
1815,کیا,اپتیما,4 سیلندر GT لاین,1395,شیراز ,,1,110000,بدون رنگ,بنزینی,تیتانیوم,داخل مشکی
1816,آلفارومئو,4C,اتوماتیک,1394,شیراز ,,1,44000,یک لکه رنگ,بنزینی,قرمز,داخل مشکی
1817,ب ام و,سری 2 اکتیوتورر,218i,1397,شیراز ,,1,35000,بدون رنگ,بنزینی,بژ,داخل مشکی
1818,فولکس,وانت,دنده ای,1371,شیراز ,,0,165000,بدون رنگ,بنزینی,بژ,داخل خاکستری
1819,دانگ فنگ,H30 کراس,اتوماتیک,1395,شمیرانات,492.0,1,145000,بدون رنگ,بنزینی,نقره ای,داخل مشکی
1820,چری,تیگو 5,اکسلنت,1394,گرگان,750.0,1,20600,بدون رنگ,بنزینی,سفید,داخل مشکی
1821,نیسان,ایکس تریل,اتوماتیک,1397,تهران ,3900.0,1,56000,بدون رنگ,بنزینی,قهوه ای,داخل مشکی
1822,پژو,پارس,LX,1388,تهران ,15.0,0,200000,بدون رنگ,بنزینی,نقره ای,داخل مشکی
1823,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1396,همدان,,1,28000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1824,پژو,پارس,XU7,1399,تهران ,,0,0,بدون رنگ,بنزینی,خاکستری,داخل قهوه ای
1825,کوییک,دنده ای S,دنده ای,1402,تهران ,,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1826,پژو,پارس,XU7P,1402,گرگان,515.0,0,0,بدون رنگ,بنزینی,مشکی,داخل کرم
1827,تویوتا,پرادو دو در,4 سیلندر,1385,تهران ,,1,200000,بدون رنگ,بنزینی,سفید,داخل طوسی
1828,ریسپکت,پرایم,اتوماتیک,1401,همدان,1090.0,1,9400,بدون رنگ,بنزینی,مشکی,داخل مشکی
1829,رنو,کپچر,اتوماتیک,1396,مشهد ,1300.0,1,100000,بدون رنگ,بنزینی,نوک مدادی,داخل مشکی
1830,ب ام و,سری 5 سدان,528i,1394,تهران ,,1,20000,بدون رنگ,بنزینی,مشکی,داخل موکا
1831,هایما,S5,گیربکس CVT,1398,تهران ,1050.0,1,39000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1832,پژو,405,GLX بنزینی,1397,تهران ,339.9,0,59000,یک لکه رنگ,بنزینی,خاکستری,داخل کرم
1833,فولکس,تیگوان,اتوماتیک,1397,تهران ,,1,110000,بدون رنگ,بنزینی,سفید,داخل مشکی
1834,تویوتا,پریوس,تیپ C,1396,تهران ,2080.0,1,80000,یک لکه رنگ,هیبریدی,مشکی,داخل مشکی
1835,میتسوبیشی,اوتلندر,تیپ 5,1397,تهران ,,1,80000,بدون رنگ,بنزینی,سفید,داخل مشکی
1836,فولکس,گلف,GTI,1397,تهران ,,1,10000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
1837,دنا,پلاس,اتوماتیک توربو,1401,اصفهان ,770.0,1,0,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1838,پژو,207,دنده ای,1402,تهران ,330.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
1839,هیوندای,توسان,2.4 لیتر,1394,تهران ,2120.0,1,100000,بدون رنگ,بنزینی,مشکی,داخل قهوه ای
1840,رانا,پلاس,دنده ای,1400,تهران ,414.0,0,39000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
1841,ب ام و,X3,28,1392,تهران ,,1,105000,درب تعویض,بنزینی,قهوه ای,داخل کرم
1842,برلیانس,H330,1.5 اتوماتیک,1394,تهران ,480.0,1,98000,گلگیر تعویض,بنزینی,سفید,داخل مشکی
1843,پژو,206 SD,V8,1391,اصفهان ,320.0,0,95000,گلگیر رنگ,بنزینی,سفید,داخل مشکی
1844,سمند,LX,EF7 دوگانه سوز,1391,نیشابور,,0,236000,کامل رنگ,دوگانه سوز,سفید,داخل کرم
1845,برلیانس,H230,دنده ای,1396,کرج ,,0,140000,بدون رنگ,بنزینی,سفید,داخل مشکی
1846,پیکان,وانت,دوگانه سوز,1387,اصفهان ,165.0,0,176000,گلگیر رنگ,دوگانه سوز,سفید,داخل مشکی
1847,دنا,پلاس,دنده ای ساده,1402,تهران ,635.0,0,500,بدون رنگ,بنزینی,مشکی,داخل مشکی
1848,نیسان,ماکسیما,اتوماتیک,1387,تهران ,,1,280000,دو لکه رنگ,بنزینی,سفید,داخل کرم
1849,سمند,LX,XU7,1386,کرج ,,0,400000,کامل رنگ,بنزینی,نقره ای,داخل کرم
1850,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1395,تهران ,3000.0,1,113000,بدون رنگ,بنزینی,سفید,داخل مشکی
1851,بنز,کلاس C,C200,1385,تهران ,940.0,0,190000,دو لکه رنگ,بنزینی,مشکی,داخل کرم
1852,ب ام و,سری 2 کوپه,220i,1395,تهران ,,1,62000,بدون رنگ,بنزینی,نقره ای,داخل قرمز
1853,دنا,پلاس,اتوماتیک توربو,1401,تهران ,,1,32000,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1854,کیا,سراتو (مونتاژ),2.0 لیتر آپشنال,1396,تهران ,1350.0,1,88000,صافکاری بدون رنگ,بنزینی,آلبالویی,داخل مشکی
1855,فونیکس,FX,پریمیوم,1402,تهران ,1840.0,1,0,بدون رنگ,بنزینی,خاکستری,داخل مشکی
1856,کیا,سورنتو,4 سیلندر GT لاین,1396,تهران ,3880.0,1,135000,بدون رنگ,بنزینی,مشکی,داخل مارون
1857,کیا,اپتیما,4 سیلندر ساده,1395,کرج ,2550.0,1,72000,بدون رنگ,بنزینی,نقره ای,داخل مشکی
1858,مکث موتور,تیارا,اتوماتیک,1402,اصفهان ,1000.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1859,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1396,تهران ,3750.0,1,17000,بدون رنگ,بنزینی,مشکی,داخل مشکی
1860,هیوندای,آوانته,دنده ای,1391,کاشمر,,0,141000,بدون رنگ,بنزینی,سفید,داخل طوسی
1861,تویوتا,لندکروز چهار در,8 سیلندر 4.7,1385,تهران ,5800.0,1,340000,دو لکه رنگ,بنزینی,مشکی,داخل کرم
1862,هیوندای,سوناتا,چهار سیلندر اتوماتیک,1392,تهران ,,1,170000,یک لکه رنگ,بنزینی,قرمز,داخل قرمز
1863,کی ام سی,K7,اتوماتیک,1402,تهران ,1590.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1864,دنا,پلاس,اتوماتیک توربو,1400,تهران ,692.0,1,34000,بدون رنگ,بنزینی,سفید,داخل مشکی
1865,هیوندای,وراکروز,اتوماتیک,1390,تهران ,,1,145000,دو لکه رنگ,بنزینی,مشکی,داخل مشکی
1866,زامیاد,ریچ,دنده ای,1398,تهران ,,0,72000,بدون رنگ,بنزینی,سفید,داخل مشکی
1867,کیا,سراتو (مونتاژ),2.0 لیتر آپشنال,1397,تهران ,,1,70000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
1868,زوتی,آریو,1.6 لیتر اتوماتیک,1395,رشت ,,1,185000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
1869,هایما,8S,اتوماتیک,1402,تهران ,1670.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
1870,دنا,پلاس,6 دنده توربو,1402,ملارد,,0,4520,بدون رنگ,بنزینی,سفید,داخل مشکی
1871,رنو,تندر 90,اتوماتیک,1392,اراک,,1,246000,بدون رنگ,بنزینی,سفید,داخل طوسی
1872,پراید,صندوق دار,دنده ای,1384,رباط کریم,98.8,0,250000,چند لکه رنگ,بنزینی,سفید,داخل مشکی
1873,یوآز,پیکاپ,دنده ای,1400,تهران ,,0,160000,بدون رنگ,بنزینی,سفید,داخل کرم
1874,چانگان,CS 35 (مونتاژ),اتوماتیک,1397,قزوین,810.0,1,75000,بدون رنگ,بنزینی,سفید,داخل مشکی
1875,رنو,ساندرو,اتوماتیک,1397,بوشهر,710.0,1,125000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
1876,پژو,206,تیپ 2,1382,تهران ,214.0,0,180000,بدون رنگ,بنزینی,بژ,داخل مشکی
1877,هایما,S7,1.8 لیتر توربو,1397,تهران ,,1,58000,بدون رنگ,بنزینی,سفید,داخل مشکی
